category,sub_category,question,question_type,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
Current Affairs,,Which ministry implements the Pradhan Mantri Jan Dhan Yojana in India?,mcq_single,Ministry of Finance,Ministry of Rural Development,Ministry of Home Affairs,Ministry of Corporate Affairs,A,The Pradhan Mantri Jan Dhan Yojana is a financial inclusion programme run by the Department of Financial Services under the Ministry of Finance. It was launched on 28 August 2014 to provide universal access to banking.,easy
Current Affairs,,Ayushman Bharat PM-JAY provides health cover of up to how much per family per year?,mcq_single,Rupees 1 lakh,Rupees 3 lakh,Rupees 5 lakh,Rupees 10 lakh,C,"PM-JAY offers a health cover of up to 5 lakh rupees per family per year for secondary and tertiary care hospitalisation, making it one of the largest publicly funded health assurance schemes in the world.",easy
Current Affairs,,The Swachh Bharat Mission was launched on the birth anniversary of which national figure?,mcq_single,Jawaharlal Nehru,Mahatma Gandhi,Sardar Vallabhbhai Patel,Dr B R Ambedkar,B,"The Swachh Bharat Mission was launched on 2 October 2014, the 145th birth anniversary of Mahatma Gandhi, with the goal of achieving a clean India.",easy
Current Affairs,,"Under the PM Kisan Samman Nidhi scheme, eligible farmer families receive how much financial support each year?",mcq_single,Rupees 4000,Rupees 6000,Rupees 8000,Rupees 12000,B,"PM-KISAN provides 6000 rupees per year to eligible landholding farmer families, paid in three equal instalments of 2000 rupees directly into their bank accounts.",medium
Current Affairs,,The Atal Pension Yojana is regulated and administered by which authority?,mcq_single,Reserve Bank of India,Securities and Exchange Board of India,Pension Fund Regulatory and Development Authority,Insurance Regulatory and Development Authority,C,The Atal Pension Yojana is administered by the Pension Fund Regulatory and Development Authority (PFRDA). It targets workers in the unorganised sector and guarantees a defined pension after the age of 60.,medium
Current Affairs,,Where is the headquarters of the United Nations Educational Scientific and Cultural Organization located?,mcq_single,Geneva,New York,Paris,Vienna,C,"UNESCO is headquartered in Paris, France. It was founded in 1945 and works on education, the sciences, culture and communication.",easy
Current Affairs,,India hosted the G20 Leaders Summit in September 2023 in which city?,mcq_single,Mumbai,New Delhi,Bengaluru,Hyderabad,B,India held the G20 presidency in 2023 and hosted the Leaders Summit in New Delhi on 9 and 10 September 2023. The African Union was admitted as a permanent member at that summit.,easy
Current Affairs,,Which organisation publishes the annual Human Development Report?,mcq_single,World Bank,United Nations Development Programme,International Monetary Fund,World Economic Forum,B,"The Human Development Report, which introduced the Human Development Index, is published by the United Nations Development Programme (UNDP). The first edition appeared in 1990.",medium
Current Affairs,,"The BRICS grouping originally consisted of Brazil, Russia, India, China and which other country?",mcq_single,Singapore,South Africa,South Korea,Saudi Arabia,B,"South Africa joined the original BRIC grouping in 2010, giving the bloc its present acronym BRICS. The group has since expanded further.",easy
Current Affairs,,The Paris Agreement on climate change was adopted at which Conference of the Parties session?,mcq_single,COP15,COP18,COP21,COP26,C,The Paris Agreement was adopted at COP21 in Paris in December 2015 and entered into force on 4 November 2016. It commits parties to limiting warming to well below 2 degrees Celsius.,medium
Current Affairs,,The Bharat Ratna is conferred by which constitutional authority?,mcq_single,The Prime Minister,The President of India,The Chief Justice of India,The Vice President,B,"The Bharat Ratna, India's highest civilian award, is conferred by the President of India. It was instituted in 1954 and is awarded for exceptional service of the highest order.",easy
Current Affairs,,The Jnanpith Award is given for outstanding contribution in which field?,mcq_single,Science and technology,Literature,Cinema,Sports,B,"The Jnanpith Award is India's most prestigious literary honour, presented for an outstanding contribution to literature in any of the languages listed in the Eighth Schedule of the Constitution.",medium
Current Affairs,,Who appoints the Chief Election Commissioner of India?,mcq_single,The Prime Minister,The President of India,The Chief Justice of India,The Speaker of the Lok Sabha,B,"The Chief Election Commissioner is appointed by the President of India. The Chief Election Commissioner can be removed only through a process similar to that for a Supreme Court judge, which protects the office's independence.",medium
Current Affairs,,The Nobel Peace Prize is awarded by a committee appointed by the parliament of which country?,mcq_single,Sweden,Norway,Denmark,Finland,B,"While most Nobel Prizes are awarded in Sweden, the Peace Prize is awarded by the Norwegian Nobel Committee, whose members are appointed by the Storting, the Norwegian parliament.",hard
Current Affairs,,The Dronacharya Award in India is given to individuals in which role?,mcq_single,Sports coaches,Serving soldiers,Classical musicians,Research scientists,A,"The Dronacharya Award honours outstanding coaches who have produced medal winners at prestigious international sporting events. It is named after Dronacharya, the teacher of archery in the Mahabharata.",medium
Current Affairs,,Which institution acts as the central bank of India?,mcq_single,State Bank of India,Reserve Bank of India,NITI Aayog,Securities and Exchange Board of India,B,"The Reserve Bank of India, established on 1 April 1935, is the country's central bank. It regulates monetary policy, issues currency and supervises the banking system.",easy
Current Affairs,,The Goods and Services Tax was introduced in India in which year?,mcq_single,2014,2016,2017,2019,C,"GST came into effect on 1 July 2017, replacing a range of indirect taxes with a single unified tax structure across the country.",easy
